transaction_id,name,department,revenue,units_sold,unit_sold_average_by_department,department_revenue_rank,units_category,quantile_revenue,3days_rolling_average_revenue,previous_revenue,revenue_%,month_name,sales,quarterly,monthly_growth%
63268,Charlie Brown,Sports,50.0,13,7.402777777777778,5.0,High,Q2,266.9166666666667,500.75,-50.30000000000001,July,650.0,3,9.98502246630055
17491,Charlie Brown,Home & Kitchen,50.0,12,7.509708737864078,5.0,High,Q2,200.25,50.0,140.01497753369944,June,600.0,2,100.0
80342,Alice Smith,Clothing,50.0,9,7.6767676767676765,5.0,Mideum,Q2,50.0,50.0,50.0,July,450.0,3,100.0
80480,Alice Smith,Electronics,100.25,8,7.373626373626373,4.0,Mideum,Q3,66.75,50.0,100.25,September,802.0,3,200.5
51914,Diana Prince,Clothing,50.0,9,7.6767676767676765,5.0,Mideum,Q2,66.75,100.25,-50.499999999999986,January,450.0,1,49.87531172069826
10338,Diana Prince,Home & Kitchen,500.75,10,7.509708737864078,1.0,Mideum,Q5,217.0,50.0,550.8746882793017,October,5007.5,4,1001.5
53585,Bob Jones,Beauty,250.0,3,7.186868686868687,2.0,Low,Q4,266.9166666666667,500.75,-651.5,December,750.0,4,49.925112331502746
46244,Charlie Brown,Clothing,-999.0,10,7.6767676767676765,7.0,Mideum,Q1,-82.75,250.0,-948.9251123315028,July,-9990.0,3,-399.6
22175,Diana Prince,Clothing,250.0,5,7.6767676767676765,2.0,Low,Q4,-166.33333333333334,-999.0,749.6,May,1250.0,2,-25.025025025025027
48890,Diana Prince,Home & Kitchen,10.5,5,7.509708737864078,6.0,Low,Q1,-246.16666666666666,250.0,135.525025025025,December,52.5,4,4.2
44701,Bob Jones,Home & Kitchen,500.75,9,7.509708737864078,1.0,Mideum,Q5,253.75,10.5,596.55,March,4506.75,1,4769.047619047619
21485,Evan Wright,Sports,100.25,10,7.402777777777778,4.0,Mideum,Q3,203.83333333333334,500.75,-4568.797619047619,January,1002.5,1,20.0199700449326
41653,Evan Wright,Clothing,250.0,6,7.6767676767676765,2.0,Mideum,Q4,283.6666666666667,100.25,329.9800299550674,July,1500.0,3,249.37655860349128
67056,Alice Smith,Sports,100.25,11,7.402777777777778,4.0,High,Q3,150.16666666666666,250.0,-49.126558603491276,January,1102.75,1,40.1
11239,Alice Smith,Beauty,50.0,14,7.186868686868687,5.0,High,Q2,133.41666666666666,100.25,109.9,November,700.0,4,49.87531172069826
62307,Alice Smith,Clothing,10.5,4,7.6767676767676765,6.0,Low,Q1,53.583333333333336,50.0,60.62468827930174,February,42.0,1,21.0
76504,Alice Smith,Beauty,10.5,5,7.186868686868687,6.0,Low,Q1,23.666666666666668,10.5,89.5,November,52.5,4,100.0
36685,Bob Jones,Sports,250.0,12,7.402777777777778,2.0,High,Q4,90.33333333333333,10.5,250.0,September,3000.0,3,2380.952380952381
39009,Bob Jones,Beauty,10.5,12,7.186868686868687,6.0,High,Q1,90.33333333333333,250.0,-2270.452380952381,November,126.0,4,4.2
37856,Diana Prince,Clothing,100.25,1,7.6767676767676765,4.0,Low,Q3,120.25,10.5,196.05,April,100.25,2,954.7619047619047
11925,Bob Jones,Electronics,250.0,4,7.373626373626373,2.0,Low,Q4,120.25,100.25,-604.7619047619047,July,1000.0,3,249.37655860349128
94056,Charlie Brown,Clothing,10.5,10,7.6767676767676765,6.0,Mideum,Q1,120.25,250.0,-138.87655860349128,May,105.0,2,4.2
36660,Alice Smith,Electronics,50.0,10,7.373626373626373,5.0,Mideum,Q2,103.5,10.5,145.8,February,500.0,1,476.1904761904762
11759,Diana Prince,Home & Kitchen,50.0,13,7.509708737864078,5.0,High,Q2,36.833333333333336,50.0,-326.1904761904762,August,650.0,3,100.0
10281,Evan Wright,Sports,500.75,4,7.402777777777778,1.0,Low,Q5,200.25,50.0,500.75,April,2003.0,2,1001.5
10235,Alice Smith,Sports,250.0,14,7.402777777777778,2.0,High,Q4,266.9166666666667,500.75,-651.5,September,3500.0,3,49.925112331502746
48197,Bob Jones,Electronics,50.0,11,7.373626373626373,5.0,High,Q2,266.9166666666667,250.0,100.07488766849727,May,550.0,2,20.0
31172,Charlie Brown,Electronics,100.25,12,7.373626373626373,4.0,High,Q3,133.41666666666666,50.0,180.25,May,1203.0,2,200.5
73416,Charlie Brown,Sports,142.93479355488418,8,7.402777777777778,3.0,Mideum,Q4,97.72826451829474,100.25,42.434793554884195,December,1143.4783484390734,4,142.57834768567002
87475,Diana Prince,Sports,500.75,2,7.402777777777778,1.0,Low,Q5,247.97826451829474,142.93479355488418,458.17165231433,August,1001.5,3,350.3345739312393
44531,Charlie Brown,Home & Kitchen,500.75,12,7.509708737864078,1.0,High,Q5,381.47826451829474,500.75,250.4154260687607,March,6009.0,1,100.0
58543,Bob Jones,Beauty,50.0,13,7.186868686868687,5.0,High,Q2,350.5,500.75,50.0,April,650.0,2,9.98502246630055
14853,Evan Wright,Electronics,50.0,5,7.373626373626373,5.0,Low,Q2,200.25,50.0,140.01497753369944,June,250.0,2,100.0
90435,Charlie Brown,Beauty,500.75,5,7.186868686868687,1.0,Low,Q5,200.25,50.0,500.75,August,2503.75,3,1001.5
41585,Alice Smith,Home & Kitchen,50.0,6,7.509708737864078,5.0,Mideum,Q2,200.25,500.75,-851.5,September,300.0,3,9.98502246630055
83609,Alice Smith,Home & Kitchen,100.25,7,7.509708737864078,4.0,Mideum,Q3,217.0,50.0,190.26497753369944,July,701.75,3,200.5
84319,Bob Jones,Sports,500.75,4,7.402777777777778,1.0,Low,Q5,217.0,100.25,400.25,November,2003.0,4,499.501246882793
71120,Bob Jones,Sports,100.25,4,7.402777777777778,4.0,Low,Q3,233.75,500.75,-299.251246882793,July,401.0,3,20.0199700449326
65176,Alice Smith,Clothing,100.25,2,7.6767676767676765,4.0,Low,Q3,233.75,100.25,180.23002995506738,December,200.5,4,100.0
51874,Evan Wright,Sports,-999.0,12,7.402777777777778,7.0,High,Q1,-266.1666666666667,100.25,-999.0,December,-11988.0,4,-996.5087281795512
61195,Alice Smith,Sports,250.0,13,7.402777777777778,2.0,High,Q4,-216.25,-999.0,1346.508728179551,July,3250.0,3,-25.025025025025027
57517,Diana Prince,Beauty,100.25,12,7.186868686868687,4.0,High,Q3,-216.25,250.0,225.275025025025,January,1203.0,1,40.1
34826,Alice Smith,Home & Kitchen,100.25,6,7.509708737864078,4.0,Mideum,Q3,150.16666666666666,100.25,160.15,April,601.5,2,100.0
49443,Evan Wright,Home & Kitchen,100.25,7,7.509708737864078,4.0,Mideum,Q3,100.25,100.25,100.25,January,701.75,1,100.0
22182,Charlie Brown,Sports,250.0,1,7.402777777777778,2.0,Low,Q4,150.16666666666666,100.25,250.0,September,250.0,3,249.37655860349128
49711,Charlie Brown,Clothing,10.5,6,7.6767676767676765,6.0,Mideum,Q1,120.25,250.0,-138.87655860349128,November,63.0,4,4.2
65168,Diana Prince,Clothing,10.5,9,7.6767676767676765,6.0,Mideum,Q1,90.33333333333333,10.5,106.3,August,94.5,3,100.0
46455,Charlie Brown,Sports,100.25,10,7.402777777777778,4.0,Mideum,Q3,40.416666666666664,10.5,100.25,January,1002.5,1,954.7619047619047
52460,Alice Smith,Sports,100.25,13,7.402777777777778,4.0,High,Q3,70.33333333333333,100.25,-754.5119047619047,March,1303.25,1,100.0
42196,Bob Jones,Electronics,10.5,11,7.373626373626373,6.0,High,Q1,70.33333333333333,100.25,10.5,March,115.5,1,10.473815461346634
96123,Diana Prince,Beauty,250.0,7,7.186868686868687,2.0,Mideum,Q4,120.25,10.5,339.52618453865335,June,1750.0,2,2380.952380952381
54623,Evan Wright,Clothing,142.93479355488418,10,7.6767676767676765,3.0,Mideum,Q4,134.47826451829474,250.0,-2138.017587397497,February,1429.3479355488419,1,57.17391742195367
12356,Alice Smith,Electronics,100.25,9,7.373626373626373,4.0,Mideum,Q3,164.3949311849614,142.93479355488418,143.07608257804634,January,902.25,1,70.13687675807637
42413,Charlie Brown,Home & Kitchen,250.0,7,7.509708737864078,2.0,Mideum,Q4,164.3949311849614,100.25,279.86312324192363,January,1750.0,1,249.37655860349128
43742,Alice Smith,Home & Kitchen,250.0,11,7.509708737864078,2.0,High,Q4,200.08333333333334,250.0,100.62344139650872,May,2750.0,2,100.0
36614,Evan Wright,Beauty,100.25,5,7.186868686868687,4.0,Low,Q3,200.08333333333334,250.0,100.25,September,501.25,3,40.1
51832,Evan Wright,Electronics,50.0,6,7.373626373626373,5.0,Mideum,Q2,133.41666666666666,100.25,109.9,May,300.0,2,49.87531172069826
26241,Evan Wright,Beauty,50.0,8,7.186868686868687,5.0,Mideum,Q2,66.75,50.0,100.12468827930175,January,400.0,1,100.0
35150,Bob Jones,Sports,250.0,5,7.402777777777778,2.0,Low,Q4,116.66666666666667,50.0,250.0,June,1250.0,2,500.0
77444,Bob Jones,Clothing,100.25,4,7.6767676767676765,4.0,Low,Q3,133.41666666666666,250.0,-299.75,April,401.0,2,40.1
86898,Bob Jones,Electronics,10.5,4,7.373626373626373,6.0,Low,Q1,120.25,100.25,70.4,October,42.0,4,10.473815461346634
24060,Evan Wright,Home & Kitchen,10.5,8,7.509708737864078,6.0,Mideum,Q1,40.416666666666664,10.5,100.02618453865337,April,84.0,2,100.0
37788,Bob Jones,Sports,50.0,1,7.402777777777778,5.0,Low,Q2,23.666666666666668,10.5,50.0,August,50.0,3,476.1904761904762
86260,Diana Prince,Clothing,10.5,2,7.6767676767676765,6.0,Low,Q1,23.666666666666668,50.0,-365.6904761904762,July,21.0,3,21.0
39757,Charlie Brown,Sports,50.0,2,7.402777777777778,5.0,Low,Q2,36.833333333333336,10.5,129.0,May,100.0,2,476.1904761904762
98801,Diana Prince,Electronics,10.5,3,7.373626373626373,6.0,Low,Q1,23.666666666666668,50.0,-365.6904761904762,May,31.5,2,21.0
93559,Diana Prince,Beauty,50.0,4,7.186868686868687,5.0,Low,Q2,36.833333333333336,10.5,129.0,April,200.0,2,476.1904761904762
91941,Diana Prince,Beauty,100.25,6,7.186868686868687,4.0,Mideum,Q3,53.583333333333336,50.0,-275.9404761904762,October,601.5,4,200.5
59786,Charlie Brown,Home & Kitchen,250.0,6,7.509708737864078,2.0,Mideum,Q4,133.41666666666666,100.25,149.5,October,1500.0,4,249.37655860349128
55350,Charlie Brown,Clothing,50.0,3,7.6767676767676765,5.0,Low,Q2,133.41666666666666,250.0,-99.37655860349128,March,150.0,1,20.0
95708,Evan Wright,Home & Kitchen,250.0,9,7.509708737864078,2.0,Mideum,Q4,183.33333333333334,50.0,330.0,December,2250.0,4,500.0
19078,Charlie Brown,Clothing,142.93479355488418,7,7.6767676767676765,3.0,Mideum,Q4,147.6449311849614,250.0,-257.0652064451158,December,1000.5435548841892,4,57.17391742195367
90559,Evan Wright,Beauty,500.75,4,7.186868686868687,1.0,Low,Q5,297.8949311849614,142.93479355488418,543.5760825780463,October,2003.0,4,350.3345739312393
41987,Charlie Brown,Electronics,100.25,6,7.373626373626373,4.0,Mideum,Q3,247.97826451829474,500.75,-150.0845739312393,December,601.5,4,20.0199700449326
11341,Evan Wright,Sports,10.5,5,7.402777777777778,6.0,Low,Q1,203.83333333333334,100.25,90.4800299550674,December,52.5,4,10.473815461346634
47219,Alice Smith,Beauty,10.5,11,7.186868686868687,6.0,High,Q1,40.416666666666664,10.5,100.02618453865337,July,115.5,3,100.0
46062,Charlie Brown,Clothing,50.0,8,7.6767676767676765,5.0,Mideum,Q2,23.666666666666668,10.5,50.0,February,400.0,1,476.1904761904762
23224,Charlie Brown,Electronics,50.0,12,7.373626373626373,5.0,High,Q2,36.833333333333336,50.0,-326.1904761904762,June,600.0,2,100.0
31427,Charlie Brown,Sports,50.0,14,7.402777777777778,5.0,High,Q2,50.0,50.0,50.0,June,700.0,2,100.0
81260,Diana Prince,Beauty,500.75,6,7.186868686868687,1.0,Mideum,Q5,200.25,50.0,500.75,August,3004.5,3,1001.5
91061,Charlie Brown,Beauty,500.75,7,7.186868686868687,1.0,Mideum,Q5,350.5,500.75,-400.75,February,3505.25,1,100.0
84859,Charlie Brown,Clothing,100.25,5,7.6767676767676765,4.0,Low,Q3,367.25,500.75,100.25,October,501.25,4,20.0199700449326
76435,Alice Smith,Clothing,50.0,7,7.6767676767676765,5.0,Mideum,Q2,217.0,100.25,129.98002995506738,June,350.0,2,49.87531172069826
21954,Diana Prince,Home & Kitchen,10.5,5,7.509708737864078,6.0,Low,Q1,53.583333333333336,50.0,60.62468827930174,July,52.5,3,21.0
51235,Evan Wright,Clothing,250.0,11,7.6767676767676765,2.0,High,Q4,103.5,10.5,329.0,May,2750.0,2,2380.952380952381
46220,Alice Smith,Beauty,100.25,7,7.186868686868687,4.0,Mideum,Q3,120.25,250.0,-2180.702380952381,May,701.75,2,40.1
16150,Evan Wright,Home & Kitchen,50.0,12,7.509708737864078,5.0,High,Q2,133.41666666666666,100.25,109.9,October,600.0,4,49.87531172069826
22676,Charlie Brown,Electronics,500.75,7,7.373626373626373,1.0,Mideum,Q5,217.0,50.0,550.8746882793017,September,3505.25,3,1001.5
50998,Alice Smith,Sports,100.25,7,7.402777777777778,4.0,Mideum,Q3,217.0,500.75,-801.25,March,701.75,1,20.0199700449326
23760,Diana Prince,Sports,100.25,2,7.402777777777778,4.0,Low,Q3,233.75,100.25,180.23002995506738,October,200.5,4,100.0
85993,Charlie Brown,Beauty,-999.0,4,7.186868686868687,7.0,Low,Q1,-266.1666666666667,100.25,-999.0,November,-3996.0,4,-996.5087281795512
89671,Charlie Brown,Beauty,100.25,13,7.186868686868687,4.0,High,Q3,-266.1666666666667,-999.0,1196.758728179551,July,1303.25,3,-10.035035035035035
85629,Alice Smith,Clothing,50.0,12,7.6767676767676765,5.0,High,Q2,-282.9166666666667,100.25,160.03503503503504,November,600.0,4,49.87531172069826
70461,Evan Wright,Electronics,100.25,8,7.373626373626373,4.0,Mideum,Q3,83.5,50.0,150.37468827930175,February,802.0,1,200.5
66133,Alice Smith,Electronics,50.0,1,7.373626373626373,5.0,Low,Q2,66.75,100.25,-50.499999999999986,October,50.0,4,49.87531172069826
12717,Bob Jones,Sports,100.25,1,7.402777777777778,4.0,Low,Q3,83.5,50.0,150.37468827930175,December,100.25,4,200.5
85713,Diana Prince,Beauty,10.5,7,7.186868686868687,6.0,Mideum,Q1,53.583333333333336,100.25,-89.99999999999999,December,73.5,4,10.473815461346634
10956,Alice Smith,Clothing,500.75,10,7.6767676767676765,1.0,Mideum,Q5,203.83333333333334,10.5,590.2761845386534,October,5007.5,4,4769.047619047619
85916,Charlie Brown,Sports,50.0,10,7.402777777777778,5.0,Mideum,Q2,187.08333333333334,500.75,-4619.047619047619,February,500.0,1,9.98502246630055
34442,Evan Wright,Sports,50.0,13,7.402777777777778,5.0,High,Q2,200.25,50.0,140.01497753369944,January,650.0,1,100.0
82258,Bob Jones,Sports,10.5,4,7.402777777777778,6.0,Low,Q1,36.833333333333336,50.0,10.5,May,42.0,2,21.0
63625,Bob Jones,Electronics,500.75,4,7.373626373626373,1.0,Low,Q5,187.08333333333334,10.5,579.75,April,2003.0,2,4769.047619047619
60460,Alice Smith,Home & Kitchen,500.75,4,7.509708737864078,1.0,Low,Q5,337.3333333333333,500.75,-4168.297619047619,July,2003.0,3,100.0
67492,Bob Jones,Home & Kitchen,250.0,1,7.509708737864078,2.0,Low,Q4,417.1666666666667,500.75,250.0,April,250.0,2,49.925112331502746
28639,Diana Prince,Sports,142.93479355488418,4,7.402777777777778,3.0,Low,Q4,297.8949311849614,250.0,193.00968122338145,August,571.7391742195367,3,57.17391742195367
86077,Bob Jones,Sports,50.0,8,7.402777777777778,5.0,Mideum,Q2,147.6449311849614,142.93479355488418,92.82608257804634,August,400.0,3,34.98098591425256
43062,Charlie Brown,Beauty,50.0,6,7.186868686868687,5.0,Mideum,Q2,80.97826451829472,50.0,115.01901408574744,March,300.0,1,100.0
62853,Bob Jones,Beauty,500.75,5,7.186868686868687,1.0,Low,Q5,200.25,50.0,500.75,December,2503.75,4,1001.5
92197,Charlie Brown,Sports,500.75,4,7.402777777777778,1.0,Low,Q5,350.5,500.75,-400.75,May,2003.0,2,100.0
67932,Alice Smith,Clothing,500.75,13,7.6767676767676765,1.0,High,Q5,500.75,500.75,500.75,June,6509.75,2,100.0
55272,Evan Wright,Clothing,10.5,11,7.6767676767676765,6.0,High,Q1,337.3333333333333,500.75,10.5,January,115.5,1,2.0968547179231156
84532,Evan Wright,Clothing,500.75,7,7.6767676767676765,1.0,Mideum,Q5,337.3333333333333,10.5,598.6531452820769,August,3505.25,3,4769.047619047619
75310,Diana Prince,Home & Kitchen,500.75,8,7.509708737864078,1.0,Mideum,Q5,337.3333333333333,500.75,-4168.297619047619,November,4006.0,4,100.0
77298,Alice Smith,Beauty,250.0,7,7.186868686868687,2.0,Mideum,Q4,417.1666666666667,500.75,250.0,December,1750.0,4,49.925112331502746
92050,Bob Jones,Beauty,50.0,11,7.186868686868687,5.0,High,Q2,266.9166666666667,250.0,100.07488766849727,May,550.0,2,20.0
58364,Bob Jones,Home & Kitchen,10.5,10,7.509708737864078,6.0,Mideum,Q1,103.5,50.0,90.5,January,105.0,1,21.0
66819,Evan Wright,Electronics,10.5,9,7.373626373626373,6.0,Mideum,Q1,23.666666666666668,10.5,89.5,May,94.5,2,100.0
29250,Diana Prince,Clothing,50.0,14,7.6767676767676765,5.0,High,Q2,23.666666666666668,10.5,50.0,February,700.0,1,476.1904761904762
75082,Alice Smith,Electronics,100.25,6,7.373626373626373,4.0,Mideum,Q3,53.583333333333336,50.0,-275.9404761904762,June,601.5,2,200.5
10077,Diana Prince,Electronics,50.0,3,7.373626373626373,5.0,Low,Q2,66.75,100.25,-50.499999999999986,January,150.0,1,49.87531172069826
11980,Charlie Brown,Sports,10.5,8,7.402777777777778,6.0,Mideum,Q1,53.583333333333336,50.0,60.62468827930174,January,84.0,1,21.0
85717,Charlie Brown,Home & Kitchen,10.5,12,7.509708737864078,6.0,High,Q1,23.666666666666668,10.5,89.5,September,126.0,3,100.0
52078,Evan Wright,Electronics,10.5,5,7.373626373626373,6.0,Low,Q1,10.5,10.5,10.5,March,52.5,1,100.0
86619,Diana Prince,Sports,250.0,13,7.402777777777778,2.0,High,Q4,90.33333333333333,10.5,250.0,October,3250.0,4,2380.952380952381
13797,Evan Wright,Beauty,250.0,14,7.186868686868687,2.0,High,Q4,170.16666666666666,250.0,-2030.9523809523812,October,3500.0,4,100.0
60072,Diana Prince,Electronics,50.0,2,7.373626373626373,5.0,Low,Q2,183.33333333333334,250.0,50.0,May,100.0,2,20.0
78760,Charlie Brown,Home & Kitchen,250.0,10,7.509708737864078,2.0,Mideum,Q4,183.33333333333334,50.0,330.0,March,2500.0,1,500.0
71396,Alice Smith,Beauty,500.75,1,7.186868686868687,1.0,Low,Q5,266.9166666666667,250.0,100.75,October,500.75,4,200.3
72552,Alice Smith,Electronics,100.25,14,7.373626373626373,4.0,High,Q3,283.6666666666667,500.75,-0.05000000000001137,February,1403.5,1,20.0199700449326
26371,Alice Smith,Clothing,250.0,3,7.6767676767676765,2.0,Low,Q4,283.6666666666667,100.25,329.9800299550674,September,750.0,3,249.37655860349128
81626,Diana Prince,Clothing,100.25,6,7.6767676767676765,4.0,Mideum,Q3,150.16666666666666,250.0,-49.126558603491276,December,601.5,4,40.1
89148,Alice Smith,Sports,100.25,1,7.402777777777778,4.0,Low,Q3,150.16666666666666,100.25,160.15,April,100.25,2,100.0
