,employee_id,name,department,city,salary,experience,bonus,joining_date,total_compensation,salary_category,salary_quartile,rank_salary_department,department_average_salary,salary_gap
33,EMP034,Employee 34,Sales,Tokyo,150000.0,2.0,14490,2022-06-16,164490.0,High,Q4,1.0,81875.0,68125.0
34,EMP035,Employee 35,Sales,New York,75000.0,1.0,13003,2023-08-04,88003.0,Low,Q2,4.0,81875.0,-6875.0
35,EMP036,Employee 36,Sales,London,60000.0,3.0,7348,2020-03-03,67348.0,Low,Q1,5.0,81875.0,-21875.0
36,EMP037,Employee 37,HR,London,45000.0,6.780952380952381,11442,2022-02-26,56442.0,Low,Q1,7.0,80294.11764705883,-35294.117647058825
37,EMP038,Employee 38,IT,Paris,60000.0,5.0,13704,2022-03-21,73704.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
38,EMP039,Employee 39,Marketing,Berlin,75000.0,3.0,8190,2024-02-10,83190.0,Low,Q2,3.0,79333.33333333333,-4333.3333333333285
39,EMP040,Employee 40,HR,New York,60000.0,7.0,3256,2024-06-21,63256.0,Low,Q1,6.0,80294.11764705883,-20294.117647058825
40,EMP041,Employee 41,IT,New York,60000.0,3.0,5376,2025-01-05,65376.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
41,EMP042,Employee 42,Finance,Tokyo,115000.0,7.0,7645,2020-12-26,122645.0,Medium,Q4,3.0,83863.63636363637,31136.363636363632
42,EMP043,Employee 43,IT,London,130000.0,3.0,5486,2025-02-17,135486.0,High,Q4,2.0,80487.80487804877,49512.19512195123
43,EMP044,Employee 44,Sales,Berlin,75000.0,2.0,5584,2025-10-13,80584.0,Low,Q2,4.0,81875.0,-6875.0
44,EMP045,Employee 45,IT,Paris,75000.0,5.0,11588,2022-09-26,86588.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
45,EMP046,Employee 46,Marketing,London,90000.0,7.0,13829,2020-09-22,103829.0,Medium,Q3,2.0,79333.33333333333,10666.666666666672
46,EMP047,Employee 47,HR,Paris,60000.0,3.0,10053,2025-11-16,70053.0,Low,Q1,6.0,80294.11764705883,-20294.117647058825
47,EMP048,Employee 48,Finance,Tokyo,60000.0,15.0,5330,2024-01-26,65330.0,Low,Q1,6.0,83863.63636363637,-23863.636363636368
48,EMP049,Employee 49,Finance,Tokyo,60000.0,6.780952380952381,4703,2023-01-08,64703.0,Low,Q1,6.0,83863.63636363637,-23863.636363636368
49,EMP050,Employee 50,IT,New York,60000.0,3.0,10662,2020-03-20,70662.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
50,EMP051,Employee 51,Sales,Berlin,115000.0,15.0,10120,2025-10-23,125120.0,Medium,Q4,2.0,81875.0,33125.0
51,EMP052,Employee 52,Marketing,Paris,45000.0,5.0,9114,2025-08-02,54114.0,Low,Q1,5.0,79333.33333333333,-34333.33333333333
52,EMP053,Employee 53,Sales,London,90000.0,3.0,3353,2024-10-14,93353.0,Medium,Q3,3.0,81875.0,8125.0
53,EMP054,Employee 54,Sales,Tokyo,75000.0,5.0,12975,2022-08-19,87975.0,Low,Q2,4.0,81875.0,-6875.0
54,EMP055,Employee 55,Finance,New York,60000.0,5.0,13023,2022-07-14,73023.0,Low,Q1,6.0,83863.63636363637,-23863.636363636368
55,EMP056,Employee 56,Sales,New York,75000.0,10.0,7063,2022-12-13,82063.0,Low,Q2,4.0,81875.0,-6875.0
56,EMP057,Employee 57,IT,Paris,60000.0,1.0,10549,2021-10-06,70549.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
57,EMP058,Employee 58,IT,Tokyo,90000.0,2.0,13211,2022-03-15,103211.0,Medium,Q3,4.0,80487.80487804877,9512.195121951227
58,EMP059,Employee 59,IT,Berlin,75000.0,5.0,9575,2020-07-05,84575.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
59,EMP060,Employee 60,HR,Tokyo,75000.0,12.0,2667,2023-10-07,77667.0,Low,Q2,5.0,80294.11764705883,-5294.117647058825
60,EMP061,Employee 61,HR,Paris,90000.0,5.0,6468,2020-01-07,96468.0,Medium,Q3,4.0,80294.11764705883,9705.882352941175
61,EMP062,Employee 62,IT,Paris,45000.0,2.0,11337,2025-10-12,56337.0,Low,Q1,7.0,80487.80487804877,-35487.80487804877
62,EMP063,Employee 63,Sales,Tokyo,75000.0,7.0,8819,2020-01-13,83819.0,Low,Q2,4.0,81875.0,-6875.0
63,EMP064,Employee 64,HR,Paris,60000.0,10.0,14377,2023-09-04,74377.0,Low,Q1,6.0,80294.11764705883,-20294.117647058825
64,EMP065,Employee 65,IT,Tokyo,75000.0,2.0,5719,2021-03-09,80719.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
65,EMP066,Employee 66,Finance,London,130000.0,3.0,4745,2024-02-15,134745.0,High,Q4,2.0,83863.63636363637,46136.36363636363
66,EMP067,Employee 67,IT,Tokyo,75000.0,6.780952380952381,9483,2023-06-02,84483.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
67,EMP068,Employee 68,Sales,Tokyo,75000.0,5.0,2539,2020-12-19,77539.0,Low,Q2,4.0,81875.0,-6875.0
68,EMP069,Employee 69,IT,Paris,75000.0,3.0,12971,2021-09-05,87971.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
69,EMP070,Employee 70,Sales,Paris,90000.0,2.0,6964,2025-04-26,96964.0,Medium,Q3,3.0,81875.0,8125.0
70,EMP071,Employee 71,Marketing,New York,60000.0,6.780952380952381,14328,2021-11-24,74328.0,Low,Q1,4.0,79333.33333333333,-19333.33333333333
71,EMP072,Employee 72,IT,New York,45000.0,6.780952380952381,6835,2022-06-05,51835.0,Low,Q1,7.0,80487.80487804877,-35487.80487804877
72,EMP073,Employee 73,IT,London,150000.0,15.0,5775,2020-01-21,155775.0,High,Q4,1.0,80487.80487804877,69512.19512195123
73,EMP074,Employee 74,Sales,New York,115000.0,12.0,8042,2025-05-06,123042.0,Medium,Q4,2.0,81875.0,33125.0
74,EMP075,Employee 75,Marketing,Tokyo,130000.0,3.0,9102,2025-07-16,139102.0,High,Q4,1.0,79333.33333333333,50666.66666666667
75,EMP076,Employee 76,Marketing,Paris,60000.0,15.0,9312,2023-11-24,69312.0,Low,Q1,4.0,79333.33333333333,-19333.33333333333
76,EMP077,Employee 77,Marketing,New York,75000.0,7.0,7320,2020-07-03,82320.0,Low,Q2,3.0,79333.33333333333,-4333.3333333333285
77,EMP078,Employee 78,IT,New York,60000.0,5.0,8132,2022-08-05,68132.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
78,EMP079,Employee 79,HR,London,75000.0,5.0,9891,2023-08-06,84891.0,Low,Q2,5.0,80294.11764705883,-5294.117647058825
79,EMP080,Employee 80,IT,London,60000.0,6.780952380952381,12700,2021-04-11,72700.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
80,EMP081,Employee 81,Sales,Tokyo,115000.0,6.780952380952381,4779,2023-06-22,119779.0,Medium,Q4,2.0,81875.0,33125.0
81,EMP082,Employee 82,Finance,Paris,75000.0,5.0,2924,2020-08-06,77924.0,Low,Q2,5.0,83863.63636363637,-8863.636363636368
82,EMP083,Employee 83,HR,London,150000.0,5.0,13148,2022-09-02,163148.0,High,Q4,1.0,80294.11764705883,69705.88235294117
83,EMP084,Employee 84,IT,New York,75000.0,1.0,3581,2022-08-26,78581.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
84,EMP085,Employee 85,HR,Paris,115000.0,15.0,9714,2022-12-05,124714.0,Medium,Q4,3.0,80294.11764705883,34705.882352941175
85,EMP086,Employee 86,HR,Paris,45000.0,10.0,5324,2025-10-22,50324.0,Low,Q1,7.0,80294.11764705883,-35294.117647058825
86,EMP087,Employee 87,Marketing,New York,75000.0,6.780952380952381,14677,2023-03-20,89677.0,Low,Q2,3.0,79333.33333333333,-4333.3333333333285
87,EMP088,Employee 88,Finance,London,90000.0,15.0,7713,2020-04-17,97713.0,Medium,Q3,4.0,83863.63636363637,6136.363636363632
88,EMP089,Employee 89,Sales,New York,45000.0,15.0,9026,2023-01-26,54026.0,Low,Q1,6.0,81875.0,-36875.0
89,EMP090,Employee 90,Finance,Paris,45000.0,15.0,2255,2025-06-05,47255.0,Low,Q1,7.0,83863.63636363637,-38863.63636363637
90,EMP091,Employee 91,IT,Berlin,150000.0,6.780952380952381,6804,2025-11-04,156804.0,High,Q4,1.0,80487.80487804877,69512.19512195123
91,EMP092,Employee 92,Marketing,Berlin,90000.0,10.0,3838,2024-11-03,93838.0,Medium,Q3,2.0,79333.33333333333,10666.666666666672
92,EMP093,Employee 93,Marketing,Tokyo,75000.0,5.0,12136,2020-06-18,87136.0,Low,Q2,3.0,79333.33333333333,-4333.3333333333285
93,EMP094,Employee 94,Finance,New York,60000.0,7.0,2009,2021-05-23,62009.0,Low,Q1,6.0,83863.63636363637,-23863.636363636368
94,EMP095,Employee 95,Marketing,New York,75000.0,15.0,4871,2021-12-02,79871.0,Low,Q2,3.0,79333.33333333333,-4333.3333333333285
95,EMP096,Employee 96,Finance,Tokyo,90000.0,7.0,10989,2024-08-02,100989.0,Medium,Q3,4.0,83863.63636363637,6136.363636363632
96,EMP097,Employee 97,Finance,Tokyo,60000.0,12.0,9409,2023-01-05,69409.0,Low,Q1,6.0,83863.63636363637,-23863.636363636368
97,EMP098,Employee 98,HR,Tokyo,45000.0,12.0,9418,2020-01-09,54418.0,Low,Q1,7.0,80294.11764705883,-35294.117647058825
98,EMP099,Employee 99,IT,Paris,75000.0,12.0,7124,2022-08-06,82124.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
99,EMP100,Employee 100,IT,New York,75000.0,3.0,3015,2022-01-05,78015.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
100,EMP101,Employee 101,IT,Paris,90000.0,2.0,12016,2025-12-12,102016.0,Medium,Q3,4.0,80487.80487804877,9512.195121951227
101,EMP102,Employee 102,Finance,Tokyo,75000.0,3.0,14661,2021-05-24,89661.0,Low,Q2,5.0,83863.63636363637,-8863.636363636368
102,EMP103,Employee 103,HR,New York,130000.0,12.0,13328,2022-09-02,143328.0,High,Q4,2.0,80294.11764705883,49705.882352941175
103,EMP104,Employee 104,Finance,Paris,75000.0,1.0,4193,2023-03-03,79193.0,Low,Q2,5.0,83863.63636363637,-8863.636363636368
104,EMP105,Employee 105,Sales,Paris,60000.0,5.0,10415,2020-08-22,70415.0,Low,Q1,5.0,81875.0,-21875.0
105,EMP106,Employee 106,IT,Tokyo,75000.0,2.0,9449,2023-08-11,84449.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
106,EMP107,Employee 107,HR,New York,45000.0,5.0,6158,2020-05-14,51158.0,Low,Q1,7.0,80294.11764705883,-35294.117647058825
107,EMP108,Employee 108,Marketing,Tokyo,130000.0,12.0,5925,2023-03-21,135925.0,High,Q4,1.0,79333.33333333333,50666.66666666667
108,EMP109,Employee 109,IT,New York,90000.0,12.0,8970,2024-05-19,98970.0,Medium,Q3,4.0,80487.80487804877,9512.195121951227
109,EMP110,Employee 110,IT,Berlin,75000.0,2.0,8938,2022-10-04,83938.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
110,EMP111,Employee 111,IT,London,90000.0,6.780952380952381,6784,2020-10-25,96784.0,Medium,Q3,4.0,80487.80487804877,9512.195121951227
111,EMP112,Employee 112,IT,London,75000.0,5.0,6000,2021-08-08,81000.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
112,EMP113,Employee 113,Sales,London,90000.0,3.0,3633,2025-03-06,93633.0,Medium,Q3,3.0,81875.0,8125.0
113,EMP114,Employee 114,Sales,Tokyo,75000.0,7.0,12344,2020-07-15,87344.0,Low,Q2,4.0,81875.0,-6875.0
114,EMP115,Employee 116,Sales,New York,45000.0,3.0,10702,2020-07-02,55702.0,Low,Q1,6.0,81875.0,-36875.0
115,EMP116,Employee 117,Sales,Paris,45000.0,7.0,2384,2025-05-08,47384.0,Low,Q1,6.0,81875.0,-36875.0
116,EMP117,Employee 118,IT,New York,60000.0,2.0,2404,2022-07-19,62404.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
117,EMP118,Employee 119,Sales,Paris,75000.0,3.0,10175,2025-06-03,85175.0,Low,Q2,4.0,81875.0,-6875.0
118,EMP119,Employee 120,Finance,New York,75000.0,3.0,14805,2022-08-10,89805.0,Low,Q2,5.0,83863.63636363637,-8863.636363636368
