Employee_ID,Name  ,Department,City,Salary,Experience (Years),Bonus,Joining_Date
EMP098,Employee 98,HR,Tokyo,45000.0,12.0,9418,2020-01-09
EMP099,Employee 99,IT Dept,Paris,,12.0,7124,2022-08-06
EMP100,Employee 100,IT Dept,New York,75000.0,3.0,3015,2022-01-05
EMP101,Employee 101,IT Dept,Paris,90000.0,2.0,12016,2025/12/12
EMP102,Employee 102,Finance,Tokyo,,3.0,14661,2021-05-24
EMP103,Employee 103,HR,New York,130000.0,12.0,13328,2022-09-02
EMP104,Employee 104,Finance,Paris,75000.0,1.0,4193,2023-03-03
EMP105,Employee 105,Sales,Paris,60000.0,5.0,10415,2020-08-22
EMP106,Employee 106,IT Dept,Tokyo,,2.0,9449,2023-08-11
EMP107,Employee 107,HR,New York,45000.0,5.0,6158,2020-05-14
EMP108,Employee 108,Marketing,Tokyo,130000.0,12.0,5925,2023-03-21
EMP109,Employee 109,IT Dept,New York,90000.0,12.0,8970,2024-05-19
EMP110,Employee 110,IT Dept,Berlin,75000.0,2.0,8938,2022-10-04
EMP111,Employee 111,IT Dept,London,90000.0,,6784,2020/10/25
EMP112,Employee 112,IT Dept,London,75000.0,5.0,6000,2021-08-08
EMP113,Employee 113,Sales,London,90000.0,3.0,3633,2025-03-06
EMP114,Employee 114,Sales,Tokyo,,7.0,12344,2020-07-15
EMP115,Employee 116,Sales,New York,45000.0,3.0,10702,2020-07-02
EMP116,Employee 117,Sales,Paris,45000.0,7.0,2384,2025-05-08
EMP117,Employee 118,IT Dept,New York,60000.0,2.0,2404,2022-07-19
EMP118,Employee 119,Sales,Paris,,3.0,10175,2025-06-03
EMP119,Employee 120,Finance,New York,,3.0,14805,2022-08-10
