Employee ,Department , Date ,Salary ($),Sales Amount,Target, Skills
Anaya Patel,Sales,2026/10/07,"₹64,000",149000,85000,"Python; Excel; SQL"
Dev Desai,Sales,08-10-2026,"₹57,000",91000,70000,"Excel; Power BI"
Riya Joshi,Marketing,09/10/2026,"₹73,000",126000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,10-Oct-2026,"₹71,500",93000,76000,"SQL; Excel"
Meera Mehta,Finance,2026-10-11,"₹66,000",121000,80000,"Python; Excel"
Aarav Shah,Sales,12/10/2026,"₹55,000",108000,65000,"Python; Excel; SQL"
Priya Mehta,SALES,13-Oct-2026,"₹62,000",89000,70000,"Excel; Power BI"
Rohan Patel,Sales,2026-10-14,"58000",167000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,15/10/2026,"₹60,500",78000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,16-Oct-2026,"₹72,000",128000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,2026/10/17,"65000",91000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,18-10-2026,"₹68,500",124000,75000,"SQL; Python"
Anaya Patel,Sales,19/10/2026,"₹64,000",156000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2026-10-20,"₹57,000",94000,70000,"Excel; Power BI"
Riya Joshi,Marketing,21/10/2026,"₹73,000",131000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,22-Oct-2026,"₹71,500",96000,76000,"SQL; Excel"
Meera Mehta,finance,2026-10-23,"₹66,000",128000,80000,"Python; Excel"
Aarav Shah,Sales,24/10/2026,"₹55,000",113000,65000,"Python; Excel; SQL"
Priya Mehta,sales,25-Oct-2026,"₹62,000",92000,70000,"Excel; Power BI"
Rohan Patel,SALES,2026/10/26,"58000",178000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,27-10-2026,"₹60,500",81000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,28/10/2026,"₹72,000",134000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,29-Oct-2026,"65000",95000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,2026-10-30,"₹68,500",129000,75000,"SQL; Python"
Anaya Patel,Sales,31/10/2026,"₹64,000",163000,85000,"Python; Excel; SQL"
Dev Desai,Sales,01-Nov-2026,"₹57,000",97000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2026/11/02,"₹73,000",138000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,03-11-2026,"₹71,500",99000,76000,"SQL; Excel"
Meera Mehta,FINANCE,04/11/2026,"₹66,000",134000,80000,"Python; Excel"
Aarav Shah,Sales,2026-11-05,"₹55,000",119000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,06/11/2026,"₹62,000",96000,70000,"Excel; Power BI"
Rohan Patel,sales,2026-11-07,"58000",191000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,08-Nov-2026,"₹60,500",85000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,2026/11/09,"₹72,000",141000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,10-11-2026,"65000",98000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,11/11/2026,"₹68,500",135000,75000,"SQL; Python"
Anaya Patel,Sales,12-Nov-2026,"₹64,000",171000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2026-11-13,"₹57,000",101000,70000,"Excel; Power BI"
Riya Joshi,Marketing,14/11/2026,"₹73,000",145000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,15-Nov-2026,"₹71,500",102000,76000,"SQL; Excel"
Meera Mehta,Finance,2026/11/16,"₹66,000",139000,80000,"Python; Excel"
Aarav Shah,Sales,17-11-2026,"₹55,000",125000,65000,"Python; Excel; SQL"
Priya Mehta, sales ,2026-11-18,"₹62,000",99000,70000,"Excel; Power BI"
Rohan Patel,Sales,19/11/2026,"58000",205000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,20-Nov-2026,"₹60,500",89000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,2026-11-21,"₹72,000",148000,80000,"Python; SQL; Tableau"
Isha Shah,finance,22/11/2026,"65000",101000,70000,"Excel; SQL; Finance"
Kabir Mehta,Finance,23-Nov-2026,"₹68,500",142000,75000,"SQL; Python"
Anaya Patel,SALES,2026/11/24,"₹64,000",179000,85000,"Python; Excel; SQL"
Dev Desai,Sales,25-11-2026,"₹57,000",105000,70000,"Excel; Power BI"
Riya Joshi,marketing,26/11/2026,"₹73,000",151000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,2026-11-27,"₹71,500",105000,76000,"SQL; Excel"
Meera Mehta,FINANCE,28-Nov-2026,"₹66,000",145000,80000,"Python; Excel"
Aarav Shah,Sales,29/11/2026,"₹55,000",131000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,2026-11-30,"₹62,000",103000,70000,"Excel; Power BI"
Rohan Patel,SALES,01-Dec-2026,"58000",218000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,02/12/2026,"₹60,500",92000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,2026-12-03,"₹72,000",155000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,04-Dec-2026,"65000",107000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,2026/12/05,"₹68,500",149000,75000,"SQL; Python"
Anaya Patel,Sales,06-12-2026,"₹64,000",187000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2026-12-07,"₹57,000",109000,70000,"Excel; Power BI"
Riya Joshi,Marketing,08/12/2026,"₹73,000",158000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,09-Dec-2026,"₹71,500",109000,76000,"SQL; Excel"
Meera Mehta,Finance,2026-12-10,"₹66,000",152000,80000,"Python; Excel"
Aarav Shah,Sales,11/12/2026,"₹55,000",137000,65000,"Python; Excel; SQL"
Priya Mehta,sales,12-Dec-2026,"₹62,000",107000,70000,"Excel; Power BI"
Rohan Patel,Sales,2026-12-13,"58000",231000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,14/12/2026,"₹60,500",95000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,15-Dec-2026,"₹72,000",161000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,2026/12/16,"65000",111000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,17-12-2026,"₹68,500",153000,75000,"SQL; Python"
Anaya Patel,Sales,18/12/2026,"₹64,000",194000,85000,"Python; Excel; SQL"
Dev Desai,Sales,19-Dec-2026,"₹57,000",113000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2026-12-20,"₹73,000",164000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,21/12/2026,"₹71,500",113000,76000,"SQL; Excel"
Meera Mehta,finance,22-Dec-2026,"₹66,000",158000,80000,"Python; Excel"
Aarav Shah,SALES,2026/12/23,"₹55,000",143000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,24-12-2026,"₹62,000",111000,70000,"Excel; Power BI"
Rohan Patel,sales,25/12/2026,"58000",245000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2026-12-26,"₹60,500",98000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,27/12/2026,"₹72,000",169000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,28-Dec-2026,"65000",115000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,2026-12-29,"₹68,500",157000,75000,"SQL; Python"
Anaya Patel,Sales,30/12/2026,"₹64,000",201000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2026-12-31,"₹57,000",117000,70000,"Excel; Power BI"
Riya Joshi,Marketing,01/01/2027,"₹73,000",171000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,02-Jan-2027,"₹71,500",117000,76000,"SQL; Excel"
Meera Mehta,FINANCE,2027-01-03,"₹66,000",164000,80000,"Python; Excel"
Aarav Shah,Sales,04/01/2027,"₹55,000",149000,65000,"Python; Excel; SQL"
Priya Mehta,sales,05-Jan-2027,"₹62,000",115000,70000,"Excel; Power BI"
Rohan Patel,SALES,2027-01-06,"58000",259000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,07/01/2027,"₹60,500",101000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,08-Jan-2027,"₹72,000",176000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,2027/01/09,"65000",119000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,10-01-2027,"₹68,500",161000,75000,"SQL; Python"
Anaya Patel,Sales,11/01/2027,"₹64,000",209000,85000,"Python; Excel; SQL"
Dev Desai,Sales,12-Jan-2027,"₹57,000",121000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2027-01-13,"₹73,000",179000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,14/01/2027,"₹71,500",121000,76000,"SQL; Excel"
Meera Mehta,Finance,15-Jan-2027,"₹66,000",171000,80000,"Python; Excel"
Aarav Shah,Sales,2027-01-16,"₹55,000",155000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,17/01/2027,"₹62,000",119000,70000,"Excel; Power BI"
Rohan Patel,sales,18-Jan-2027,"58000",274000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2027-01-19,"₹60,500",104000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,20/01/2027,"₹72,000",183000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,21-Jan-2027,"65000",123000,70000,"Excel; SQL; Finance"
Kabir Mehta,Finance,2027-01-22,"₹68,500",166000,75000,"SQL; Python"
Anaya Patel,SALES,23/01/2027,"₹64,000",218000,85000,"Python; Excel; SQL"
Dev Desai,Sales,24-Jan-2027,"₹57,000",125000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2027-01-25,"₹73,000",186000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,26/01/2027,"₹71,500",126000,76000,"SQL; Excel"
Meera Mehta,FINANCE,27-Jan-2027,"₹66,000",178000,80000,"Python; Excel"
Aarav Shah,Sales,2027-01-28,"₹55,000",161000,65000,"Python; Excel; SQL"
Priya Mehta,sales,29/01/2027,"₹62,000",123000,70000,"Excel; Power BI"
Rohan Patel,Sales,2027-01-30,"58000",291000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,31/01/2027,"₹60,500",107000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,2027-02-01,"₹72,000",190000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,02/02/2027,"65000",128000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,03-Feb-2027,"₹68,500",172000,75000,"SQL; Python"
Anaya Patel,Sales,2027-02-04,"₹64,000",227000,85000,"Python; Excel; SQL"
Dev Desai,Sales,05/02/2027,"₹57,000",129000,70000,"Excel; Power BI"
Riya Joshi,Marketing,06-Feb-2027,"₹73,000",194000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,2027/02/07,"₹71,500",130000,76000,"SQL; Excel"
Meera Mehta,Finance,08-02-2027,"₹66,000",184000,80000,"Python; Excel"
Aarav Shah,SALES,2027-02-09,"₹55,000",167000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,10/02/2027,"₹62,000",127000,70000,"Excel; Power BI"
Rohan Patel,SALES,11-Feb-2027,"58000",309000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2027-02-12,"₹60,500",110000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,13/02/2027,"₹72,000",197000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,14-Feb-2027,"65000",132000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,2027-02-15,"₹68,500",178000,75000,"SQL; Python"
Anaya Patel,Sales,16/02/2027,"₹64,000",236000,85000,"Python; Excel; SQL"
Dev Desai,Sales,17-Feb-2027,"₹57,000",133000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2027-02-18,"₹73,000",201000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,19/02/2027,"₹71,500",134000,76000,"SQL; Excel"
Meera Mehta,finance,20-Feb-2027,"₹66,000",191000,80000,"Python; Excel"
Aarav Shah,Sales,2027-02-21,"₹55,000",173000,65000,"Python; Excel; SQL"
Priya Mehta,sales,22/02/2027,"₹62,000",131000,70000,"Excel; Power BI"
Rohan Patel,Sales,23-Feb-2027,"58000",326000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2027-02-24,"₹60,500",114000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,25/02/2027,"₹72,000",204000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,26-Feb-2027,"65000",136000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,2027/02/27,"₹68,500",184000,75000,"SQL; Python"
Anaya Patel,SALES,28/02/2027,"₹64,000",245000,85000,"Python; Excel; SQL"
Dev Desai,Sales,01-Mar-2027,"₹57,000",137000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2027-03-02,"₹73,000",209000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,03/03/2027,"₹71,500",139000,76000,"SQL; Excel"
Meera Mehta,FINANCE,04-Mar-2027,"₹66,000",198000,80000,"Python; Excel"
Aarav Shah,Sales,2027/03/05,"₹55,000",179000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,06-03-2027,"₹62,000",135000,70000,"Excel; Power BI"
Rohan Patel,sales,07/03/2027,"58000",345000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2027-03-08,"₹60,500",117000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,09/03/2027,"₹72,000",212000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,10-Mar-2027,"65000",141000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,2027-03-11,"₹68,500",190000,75000,"SQL; Python"
Anaya Patel,Sales,12/03/2027,"₹64,000",253000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2027-03-13,"₹57,000",141000,70000,"Excel; Power BI"
Riya Joshi,marketing,14/03/2027,"₹73,000",216000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,15-Mar-2027,"₹71,500",144000,76000,"SQL; Excel"
Meera Mehta,Finance,2027/03/16,"₹66,000",205000,80000,"Python; Excel"
Aarav Shah,SALES,17-03-2027,"₹55,000",185000,65000,"Python; Excel; SQL"
Priya Mehta,sales,2027-03-18,"₹62,000",139000,70000,"Excel; Power BI"
Rohan Patel,Sales,19/03/2027,"58000",367000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,20-Mar-2027,"₹60,500",120000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,2027-03-21,"₹72,000",219000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,22/03/2027,"65000",146000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,23-Mar-2027,"₹68,500",197000,75000,"SQL; Python"
Anaya Patel,Sales,2027-03-24,"₹64,000",261000,85000,"Python; Excel; SQL"
Dev Desai,Sales,25/03/2027,"₹57,000",145000,70000,"Excel; Power BI"
Riya Joshi,Marketing,26-Mar-2027,"₹73,000",223000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,2027/03/27,"₹71,500",148000,76000,"SQL; Excel"
Meera Mehta,FINANCE,28-03-2027,"₹66,000",212000,80000,"Python; Excel"
Aarav Shah,Sales,29/03/2027,"₹55,000",191000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,2027-03-30,"₹62,000",143000,70000,"Excel; Power BI"
Rohan Patel,SALES,31/03/2027,"58000",389000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,01-Apr-2027,"₹60,500",123000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,2027-04-02,"₹72,000",227000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,03/04/2027,"65000",151000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,04-Apr-2027,"₹68,500",203000,75000,"SQL; Python"
Anaya Patel,Sales,2027/04/05,"₹64,000",269000,85000,"Python; Excel; SQL"
Dev Desai,Sales,06-04-2027,"₹57,000",149000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2027-04-07,"₹73,000",230000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,08/04/2027,"₹71,500",153000,76000,"SQL; Excel"
Meera Mehta,Finance,09-Apr-2027,"₹66,000",219000,80000,"Python; Excel"
Aarav Shah,Sales,2027-04-10,"₹55,000",197000,65000,"Python; Excel; SQL"
Priya Mehta,sales,11/04/2027,"₹62,000",147000,70000,"Excel; Power BI"
Rohan Patel,Sales,12-Apr-2027,"58000",412000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2027/04/13,"₹60,500",127000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,14-04-2027,"₹72,000",234000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,15/04/2027,"65000",155000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,2027-04-16,"₹68,500",210000,75000,"SQL; Python"
Anaya Patel,Sales,17/04/2027,"₹64,000",278000,85000,"Python; Excel; SQL"
Dev Desai,Sales,18-Apr-2027,"₹57,000",153000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2027-04-19,"₹73,000",238000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,20/04/2027,"₹71,500",157000,76000,"SQL; Excel"
Meera Mehta,finance,21-Apr-2027,"₹66,000",226000,80000,"Python; Excel"
Aarav Shah,SALES,2027-04-22,"₹55,000",203000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,23/04/2027,"₹62,000",151000,70000,"Excel; Power BI"
Rohan Patel,sales,2027-04-24,"58000",438000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,25-Apr-2027,"₹60,500",131000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,2027/04/26,"₹72,000",241000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,27-04-2027,"65000",159000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,28/04/2027,"₹68,500",217000,75000,"SQL; Python"
Anaya Patel,SALES,29-Apr-2027,"₹64,000",286000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2027-04-30,"₹57,000",157000,70000,"Excel; Power BI"
Riya Joshi,Marketing,01/05/2027,"₹73,000",245000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,02-May-2027,"₹71,500",161000,76000,"SQL; Excel"
Meera Mehta,FINANCE,2027-05-03,"₹66,000",233000,80000,"Python; Excel"
Aarav Shah,Sales,04/05/2027,"₹55,000",209000,65000,"Python; Excel; SQL"
Priya Mehta,sales,05-May-2027,"₹62,000",155000,70000,"Excel; Power BI"
Rohan Patel,Sales,2027-05-06,"58000",467000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,07/05/2027,"₹60,500",135000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,08-May-2027,"₹72,000",248000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,2027/05/09,"65000",163000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,10-05-2027,"₹68,500",224000,75000,"SQL; Python"
Anaya Patel,Sales,11/05/2027,"₹64,000",294000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2027-05-12,"₹57,000",161000,70000,"Excel; Power BI"
Riya Joshi,marketing,13/05/2027,"₹73,000",252000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,14-May-2027,"₹71,500",164000,76000,"SQL; Excel"
Meera Mehta,Finance,2027-05-15,"₹66,000",241000,80000,"Python; Excel"
Aarav Shah,Sales,16/05/2027,"₹55,000",215000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,17-May-2027,"₹62,000",159000,70000,"Excel; Power BI"
Rohan Patel,SALES,2027/05/18,"58000",498000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,19-05-2027,"₹60,500",139000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,2027-05-20,"₹72,000",255000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,21/05/2027,"65000",168000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,22-May-2027,"₹68,500",231000,75000,"SQL; Python"
Anaya Patel,Sales,2027-05-23,"₹64,000",302000,85000,"Python; Excel; SQL"
Dev Desai,Sales,24/05/2027,"₹57,000",165000,70000,"Excel; Power BI"
Riya Joshi,Marketing,25-May-2027,"₹73,000",259000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,2027/05/26,"₹71,500",170000,76000,"SQL; Excel"
Meera Mehta,FINANCE,27-05-2027,"₹66,000",249000,80000,"Python; Excel"
Aarav Shah,SALES,28/05/2027,"₹55,000",221000,65000,"Python; Excel; SQL"
Priya Mehta,sales,2027-05-29,"₹62,000",163000,70000,"Excel; Power BI"
Rohan Patel,Sales,30-May-2027,"58000",529000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2027-05-31,"₹60,500",143000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,01/06/2027,"₹72,000",262000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,02-Jun-2027,"65000",173000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,2027-06-03,"₹68,500",238000,75000,"SQL; Python"
Anaya Patel,Sales,04/06/2027,"₹64,000",311000,85000,"Python; Excel; SQL"
Dev Desai,Sales,05-Jun-2027,"₹57,000",169000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2027/06/06,"₹73,000",267000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,07-06-2027,"₹71,500",176000,76000,"SQL; Excel"
Meera Mehta,Finance,2027-06-08,"₹66,000",258000,80000,"Python; Excel"
Aarav Shah,Sales,09/06/2027,"₹55,000",227000,65000,"Python; Excel; SQL"
Priya Mehta,sales,10-Jun-2027,"₹62,000",167000,70000,"Excel; Power BI"
